gesture@evp1982m	@evp1982m	268.557	270.502	Собирая пальцы левой руки, слабо взмахивает на уровне плеч
gesture@evp1982m	@evp1982m	270.559	272.574	Разъединяя пальцы, совершает вращательные движения рукой на уровне плеч
gesture@evp1982m	@evp1982m	280.396	281.412	Подводит руки к груди, сжимая ладони в кулак на уровне груди
gesture@evp1982m	@evp1982m	281.428	282.652	Складывает руки у живота, касаясь пальцами одной руки пальцев другой
gesture@evp1982m	@evp1982m	282.685	283.912	Положив правую руку на колено, вращает кистью левой руки
gesture@evp1982m	@evp1982m	283.964	284.869	Правой рукой поправляет правый борт пиджака
gesture@evp1982m	@evp1982m	294.148	294.852	Разводит руками в стороны ладонями к верху на уровне плеч
gestMeaning@evp1982m	@evp1982m	14.51	16.363	Возражение
gestMeaning@evp1982m	@evp1982m	16.463	18.415	Готовность начать высказывание
gestMeaning@evp1982m	@evp1982m	19.718	20.824	Декоративный жест
gestMeaning@evp1982m	@evp1982m	21.008	21.627	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	21.709	22.61	Перечисление
gestMeaning@evp1982m	@evp1982m	22.761	23.614	Перечисление
gestMeaning@evp1982m	@evp1982m	23.653	24.255	Перечисление
gestMeaning@evp1982m	@evp1982m	24.271	24.509	Перечисление
gestMeaning@evp1982m	@evp1982m	24.558	27.618	Перечисление
gestMeaning@evp1982m	@evp1982m	37.761	39.411	Выражение эмоций
gestMeaning@evp1982m	@evp1982m	51.368	52.024	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	57.653	58.813	Подчеркивание высказывания
gestMeaning@evp1982m	@evp1982m	60.306	61.267	Декоративный жест
gestMeaning@evp1982m	@evp1982m	165.761	166.614	Перечисление
gestMeaning@evp1982m	@evp1982m	166.701	173.212	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	173.31	173.916	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	173.943	175.343	Подчеркивание высказывания
gestMeaning@evp1982m	@evp1982m	198.051	198.857	Перечисление
gestMeaning@evp1982m	@evp1982m	198.909	201.467	Перечисление
gestMeaning@evp1982m	@evp1982m	229.359	229.561	Хезитация
gestMeaning@evp1982m	@evp1982m	229.575	230.516	Формирование мысли
gestMeaning@evp1982m	@evp1982m	230.559	231.717	Формирование мысли
gestMeaning@evp1982m	@evp1982m	231.727	232.475	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	232.496	232.963	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	233.01	233.337	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	245.659	246.818	перечисление
gestMeaning@evp1982m	@evp1982m	246.863	247.815	Возражение
gestMeaning@evp1982m	@evp1982m	247.854	249.511	Указательный жест
gestMeaning@evp1982m	@evp1982m	249.56	250.215	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	250.255	252.11	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	252.604	255.563	Перечисление
gestMeaning@evp1982m	@evp1982m	255.602	258.06	Изобразительный жест
gestMeaning@evp1982m	@evp1982m	258.076	258.866	Перечисление
gestMeaning@evp1982m	@evp1982m	258.906	260.863	Индефикация собеседника
gestMeaning@evp1982m	@evp1982m	268.557	270.502	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	270.559	272.574	Поддержка коммуникации
gestMeaning@evp1982m	@evp1982m	280.396	281.412	Возражение
gestMeaning@evp1982m	@evp1982m	281.428	282.652	Возражение
gestMeaning@evp1982m	@evp1982m	282.685	283.912	Указательный жест
gestMeaning@evp1982m	@evp1982m	283.964	284.869	Декоративный жест
gestMeaning@evp1982m	@evp1982m	294.148	294.852	Поддержка комуникации
gestMeaning@mel1952m	@mel1952m	0.134	1.347	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	1.362	2.911	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	4.206	4.809	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	9.422	10.266	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	10.807	16.007	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	58.901	66.425	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	66.785	70.425	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	70.622	80.294	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	90.222	94.825	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	95.018	97.508	Изобразительный жест
gestMeaning@mel1952m	@mel1952m	98.011	102.011	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	102.112	104.216	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	104.256	104.81	Индефикация собеседника
gestMeaning@mel1952m	@mel1952m	105.492	107.104	Формулировка мысли
gestMeaning@mel1952m	@mel1952m	107.16	109.013	Изобразительный жест
gestMeaning@mel1952m	@mel1952m	109.151	110.724	Изобразительный жест
gestMeaning@mel1952m	@mel1952m	111.253	114.558	Перечисление
gestMeaning@mel1952m	@mel1952m	114.608	116.309	Индефикация собеседника
gestMeaning@mel1952m	@mel1952m	116.409	117.411	Указательный жест
gestMeaning@mel1952m	@mel1952m	118.206	118.71	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	118.813	120.364	Формулировка мысли
gestMeaning@mel1952m	@mel1952m	120.451	123.149	Привлечение внимания
gestMeaning@mel1952m	@mel1952m	123.193	123.949	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	124.106	127.61	Хезитация
gestMeaning@mel1952m	@mel1952m	127.91	128.655	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	130.253	133.505	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	133.547	137.012	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	137.104	140.726	Выражение эмоции
gestMeaning@mel1952m	@mel1952m	141.506	145.01	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	145.059	148.308	Указательный жест
gestMeaning@mel1952m	@mel1952m	148.503	154.456	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	154.495	162.485	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	175.492	180.705	Изобразительный жест
gestMeaning@mel1952m	@mel1952m	180.849	182.008	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	182.135	182.868	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	183.167	184.596	Формулировка мысли
gestMeaning@mel1952m	@mel1952m	185.501	189.505	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	190.008	191.334	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	247.225	247.868	Выражение согласия
gestMeaning@mel1952m	@mel1952m	256.501	257.42	Готовность выслушать собеседника
gestMeaning@mel1952m	@mel1952m	275.008	285.266	Возражение
gestMeaning@mel1952m	@mel1952m	286.506	290.166	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	290.329	293.03	Подчеркивание высказывания
gestMeaning@mel1952m	@mel1952m	293.152	296.899	Перечисление
gestMeaning@mel1952m	@mel1952m	297.012	299.008	Изобразительный жест
gestMeaning@mel1952m	@mel1952m	299.058	299.361	Поддержка коммуникации
gestMeaning@mel1952m	@mel1952m	299.411	300.035	Призыв к собеседнику
gestMeaning@mel1952m	@mel1952m	301.519	303.786	Изобразительный жест
gestMeaning@mel1952m	@mel1952m	303.804	305.664	Поддержка коммуникации
